scd,gender,age_grp,weekday,total_qty,total_amt,category_0,category_1,category_2,category_3,event_product,num_category,amt/qty,prime_yn,employee_yn
20230101963226,1,3,0,6,39.433805771984794,1,0,3,0,2,2,7.609629195356371,0,Y
20230101963235,0,4,0,2,19.234565657415075,1,1,0,0,2,2,9.617282828707538,1,Y
20230101963244,0,4,0,3,10.234372782288558,0,1,0,0,0,1,3.411457594096186,1,N
20230101963247,1,3,0,6,45.51685547007837,2,2,0,1,0,3,8.070211654903162,1,Y
20230101963251,0,3,0,2,10.845621454367802,0,0,0,1,0,1,5.422810727183901,1,Y
20230101963253,1,2,0,6,47.0147423746736,1,3,0,1,0,3,8.445540444931016,1,Y
20230101963257,0,4,0,1,10.248105097311578,0,0,0,1,0,1,10.248105097311578,1,Y
20230101963276,1,2,0,5,46.54726573822178,1,3,0,1,0,4,9.309453147644357,1,Y
20230101963277,1,3,0,1,9.190035618635818,0,0,1,0,0,1,9.190035618635818,1,N
20230101963279,1,3,0,6,21.564431604135972,0,0,0,2,0,2,6.0566010189745185,1,Y
20230101963294,1,5,0,12,88.20347432533697,5,3,2,0,0,5,7.945893608473976,1,Y
20230101963302,0,4,0,17,83.44628039751449,1,3,1,5,0,7,7.574948383127447,0,N
20230101963305,0,5,0,4,10.702727480606711,1,0,0,0,1,1,2.675681870151678,1,Y
20230101963317,1,6,0,3,11.231198956223722,0,1,0,0,1,1,3.7437329854079073,0,Y
20230101963319,1,4,0,23,73.4526528393645,6,1,1,0,0,3,4.093077431829527,0,N
20230101963336,0,3,0,30,119.94349622614142,3,8,2,1,0,7,6.208069088120404,1,N
20230101963345,1,4,0,1,9.566685261452934,1,0,0,0,0,1,9.566685261452934,0,N
20230101963352,0,5,0,7,52.76246372543832,0,5,1,0,0,3,8.040943688116709,1,N
20230101963356,1,4,0,4,18.59848611812822,0,2,0,0,0,2,5.987710209877051,0,N
20230101963357,0,3,0,9,76.15573648923274,4,1,2,2,1,5,8.461748498803637,1,Y
20230101963359,0,3,0,7,61.152603454513155,5,1,1,0,0,4,8.736086207787594,1,N
20230101963360,0,4,0,1,9.053569596026234,0,0,0,1,0,1,9.053569596026234,0,N
