scd,gender,age_grp,weekday,total_qty,total_amt,event_product,amt/qty,num_category,ctg_0,ctg_1,ctg_2,ctg_3
20230101963226,1,3,0,8,37.3211564512129,0,4.6651445564016125,2,0,1,1,0
20230101963229,1,5,0,1,9.00380808646717,0,9.00380808646717,1,0,0,1,0
20230101963246,1,2,0,2,9.574080300037034,0,4.787040150018517,1,0,1,0,0
20230101963265,0,3,0,5,43.665790125141925,0,8.733158025028384,3,1,1,1,0
20230101963284,0,4,0,3,24.197277685316138,0,8.065759228438713,2,1,0,0,1
20230101963346,1,5,0,2,10.652566005416872,0,5.326283002708436,1,1,0,0,0
20230101963357,0,3,0,4,11.862955379523507,0,2.965738844880877,1,0,0,0,1
20230101963403,0,3,0,3,15.728816785963412,0,5.978193125817091,1,0,0,1,0
20230101963411,1,3,0,1,10.698152876286422,1,10.698152876286422,1,1,0,0,0
20230101963413,1,4,0,7,32.97792537347783,3,4.877898313430186,2,1,0,0,1
20230101963415,1,2,0,4,28.49270030398103,0,7.842407302239398,2,1,0,0,1
20230101963472,0,3,0,1,9.195226734166134,0,9.195226734166134,1,0,1,0,0
20230101963481,0,3,0,3,21.435253441346955,2,7.902277895889993,1,0,0,0,1
20230101963523,1,2,0,1,9.911654115202522,0,9.911654115202522,1,1,0,0,0
20230101963537,1,3,0,6,52.56355262621354,0,8.760592104368923,3,1,1,0,0
20230101963550,1,3,0,3,9.25674674479034,0,3.0855822482634463,1,0,1,0,0
20230101963555,0,5,0,1,9.20923976653215,0,9.20923976653215,1,1,0,0,0
20230101963564,0,4,0,5,27.90104193884992,0,6.13565320441987,2,0,1,0,0
20230101963566,0,3,0,3,17.591948383189276,0,6.247224246452572,2,1,0,0,1
20230101963571,1,5,0,1,9.559305672844864,0,9.559305672844864,1,1,0,0,0
20230101963574,0,3,0,7,17.43885558185444,0,2.94628372983953,2,1,1,0,0
20230101963584,0,5,0,13,102.83283600603109,0,7.910218154310083,1,0,0,1,0
20230101963611,1,6,0,1,8.798454696065095,0,8.798454696065095,1,0,0,0,1
20230101963624,1,4,0,1,8.570923513837204,0,8.570923513837204,1,1,0,0,0
20230101963681,1,4,0,12,82.5437326696413,0,7.961832737175603,2,1,0,0,1
20230101963704,1,2,0,15,28.4058845609044,0,1.8937256373936266,1,0,0,1,0
20230101963715,1,3,0,7,36.877557863940496,0,5.666662636630065,4,0,1,1,1
20230101963778,1,2,0,2,23.62473186004218,2,11.81236593002109,2,1,0,0,1
20230101963788,1,2,0,1,9.568783751310876,0,9.568783751310876,1,0,1,1,0
20230101963790,0,3,0,1,9.826174449433458,1,9.826174449433458,1,0,0,1,0
20230101963838,1,3,0,20,13.012756079139162,1,0.6506378039569581,1,0,0,0,1
20230101963904,0,4,0,1,9.37203396097417,0,9.37203396097417,1,1,0,0,0
20230101963907,0,3,0,52,117.21614565868433,0,6.544951184713326,6,1,1,1,1
20230101963919,1,2,0,2,19.15802861600222,0,9.57901430800111,2,1,0,0,1
20230101963939,1,3,0,21,24.717844442739235,2,1.330553144554138,2,1,0,0,1
20230101963947,1,3,0,5,11.465424968821374,1,2.2930849937642748,1,1,0,0,0
20230101963983,0,4,0,2,8.876963340262272,0,4.438481670131136,1,1,0,0,0
20230101963994,1,3,0,44,175.3072676040138,0,6.081879503854822,5,1,1,1,1
20230101963998,1,3,0,9,78.66037521293663,3,8.740041690326292,6,1,1,1,1
20230101964020,0,5,0,3,25.196853701818316,0,8.398951233939439,2,1,0,1,0
20230101964022,1,3,0,4,11.683587647995452,0,2.920896911998863,1,0,0,1,0
20230101964026,0,5,0,1,9.104090572133472,0,9.104090572133472,1,0,1,0,0
20230101964053,1,3,0,1,9.365890072717148,0,9.365890072717148,1,1,0,0,0
20230101964102,0,2,0,2,21.530952699171902,0,10.765476349585951,2,1,0,0,1
20230101964116,1,4,0,1,8.980675603671708,0,8.980675603671708,1,0,1,0,0
20230101964120,1,4,0,16,104.23582370670192,0,7.275831392729281,5,1,1,1,1
20230101964158,0,5,0,2,10.929009300010009,0,5.464504650005004,1,0,0,1,0
20230101964169,0,5,0,4,18.698966471197586,0,4.674741617799397,2,1,0,1,0
20230101964190,1,3,0,3,11.172531548605455,1,3.7241771828684853,1,1,0,0,0
20230101964192,0,4,0,5,38.625944107563065,4,8.27802929298003,3,1,0,1,0
20230101964208,1,3,0,3,31.548991784755728,3,10.516330594918577,1,1,0,0,0
20230101964211,1,4,0,9,46.73454041906905,0,5.6148066503018494,1,1,0,0,0
20230101964224,1,3,0,8,64.52060873480802,0,8.499338095596112,4,1,0,0,1
20230101964230,0,5,0,16,13.663404286908538,1,0.8539627679317836,1,0,0,0,1
20230101964255,0,4,0,3,26.987094157748793,0,8.99569805258293,1,0,0,0,1
20230101964271,0,2,0,3,23.66212892579438,0,7.887376308598127,2,1,0,1,0
20230101964275,1,5,0,21,162.73721393778385,0,8.280277728570544,7,1,1,1,1
20230101964281,0,3,0,2,21.950744146505123,2,10.975372073252561,1,1,0,0,0
20230101964285,1,2,0,3,25.965296976860984,0,8.655098992286995,2,1,0,0,1
20230101964297,1,2,0,1,10.62582939137535,0,10.62582939137535,1,0,0,0,1
20230101964310,1,3,0,6,10.91368748329898,0,1.8189479138831635,1,0,0,0,1
20230101964329,0,5,0,16,114.49704318354976,0,7.990023607450605,2,0,1,1,0
20230101964349,0,3,0,2,15.789381700851248,0,7.894690850425624,1,0,0,1,0
20230101964352,1,3,0,1,9.103089181229208,0,9.103089181229208,1,0,1,0,0
