scd,gender,age_grp,order_date,total_qty,total_amt,event_product,num_category,amt/qty,prime_yn,most_product_0,most_product_1,most_product_2,most_product_3
20230101963244,0,4,0,3,10.234372782288558,0,1,3.411457594096186,1,0,1,0,0
20230101963277,1,3,0,1,9.190035618635818,0,1,9.190035618635818,1,0,0,1,0
20230101963302,0,4,0,17,83.44628039751449,0,7,7.574948383127447,0,0,0,0,1
20230101963319,1,4,0,23,73.4526528393645,0,3,4.093077431829527,0,1,0,0,0
20230101963336,0,3,0,30,119.94349622614143,0,7,6.208069088120404,1,0,1,0,0
20230101963345,1,4,0,1,9.566685261452934,0,1,9.566685261452934,0,1,0,0,0
20230101963352,0,5,0,7,52.76246372543832,0,3,8.040943688116709,1,0,1,0,0
20230101963356,1,4,0,4,18.59848611812822,0,2,5.987710209877051,0,0,1,0,0
20230101963359,0,3,0,7,61.152603454513155,0,4,8.736086207787594,1,1,0,0,0
20230101963360,0,4,0,1,9.053569596026234,0,1,9.053569596026234,0,0,0,0,1
20230101963361,0,5,0,1,10.62815762466823,0,1,10.62815762466823,0,0,1,0,0
20230101963362,0,4,0,14,36.990667954942,0,3,2.7449227187976994,1,0,1,0,0
20230101963370,1,4,0,7,52.218480733514625,0,5,7.939650944936986,1,0,1,0,0
20230101963383,0,4,0,8,48.43841781659355,0,3,7.295582888686863,0,0,0,1,0
20230101963394,0,4,0,8,36.99941523619241,0,4,6.396884891549286,1,1,0,0,0
20230101963443,1,3,0,2,10.259797429846149,0,1,5.129898714923074,0,1,0,0,0
20230101963474,1,2,0,28,127.03946772290584,0,4,6.89053511506333,0,0,0,1,0
20230101963496,0,5,0,8,53.09721576418069,0,3,7.275297669416503,0,0,1,0,0
20230101963497,1,2,0,11,28.988680652858875,0,2,3.579739693289664,1,0,1,0,0
20230101963504,0,3,0,7,38.4128902601269,0,4,6.107119549322296,0,0,1,0,0
20230101963505,0,3,0,20,11.65789988570203,0,1,0.5828949942851015,0,1,0,0,0
20230101963506,1,3,0,41,31.727057382200208,0,2,3.7983748559635693,1,0,0,1,0
20230101963514,1,3,0,23,48.22534367989963,0,1,2.2283900107068324,1,0,0,1,0
