scd,gender,age_grp,order_date,total_qty,total_amt,most_product,event_product,num_category,prime_yn
20230101963226,1,3,0,6,39.433805771984794,2,2,4,0
20230101963235,0,4,0,2,19.234565657415075,0,2,2,1
20230101963247,1,3,0,6,45.51685547007837,0,0,5,1
20230101963251,0,3,0,2,10.845621454367802,3,0,1,1
20230101963253,1,2,0,6,47.014742374673595,1,0,5,1
20230101963257,0,4,0,1,10.248105097311578,3,0,1,1
20230101963276,1,2,0,5,46.547265738221775,1,0,5,1
20230101963279,1,3,0,6,21.564431604135972,3,0,2,1
20230101963294,1,5,0,12,88.20347432533697,0,0,10,1
20230101963305,0,5,0,4,10.702727480606711,0,1,1,1
20230101963317,1,6,0,3,11.231198956223722,1,1,1,0
20230101963357,0,3,0,9,76.15573648923275,0,1,9,1
20230101963377,1,2,0,11,91.1284365253931,2,0,11,0
20230101963403,0,3,0,11,86.45647526071174,0,0,10,0
20230101963415,1,2,0,1,9.142489705068009,0,0,1,1
20230101963417,1,3,0,2,11.391288763472756,0,1,1,1
20230101963419,1,2,0,12,12.500360352658946,1,1,1,1
20230101963448,0,5,0,11,98.09659884266594,0,0,10,1
20230101963454,1,4,0,38,235.68590306798004,2,0,28,1
20230101963482,1,2,0,3,11.132309054831454,3,0,1,0
20230101963491,0,4,0,3,11.809564801089715,1,1,1,1
20230101963501,0,4,0,8,65.4753361300567,3,0,7,0
20230101963537,1,3,0,7,53.60036808286456,1,0,6,1
20230101963555,0,5,0,4,36.46994877690789,0,1,4,1
20230101963586,0,3,0,26,170.8994153182747,0,0,20,1
20230101963598,0,3,0,3,21.138146774011144,1,2,2,0
20230101963602,0,5,0,15,113.19537220059355,3,0,12,1
20230101963613,1,2,0,14,127.04159557084117,1,0,14,1
20230101963624,1,4,0,17,146.1268664123946,2,1,17,1
20230101963635,0,5,0,17,136.09714786044276,1,1,15,1
20230101963650,0,3,0,1,10.867386798325008,0,0,1,0
20230101963670,1,4,0,1,12.086291990961044,1,1,1,1
20230101963681,1,4,0,2,16.743256399829402,0,0,2,1
20230101963726,0,4,0,1,10.710967378552104,1,1,1,1
20230101963733,0,4,0,1,9.316500567804573,0,1,1,1
20230101963734,0,4,0,8,62.91601451112649,1,0,7,1
20230101963759,0,2,0,3,28.979815814309397,3,0,3,1
20230101963790,0,3,0,17,98.26322161890747,0,0,11,0
20230101963804,1,2,0,4,10.363472411086745,0,0,1,0
20230101963838,1,3,0,30,25.60157159258771,1,2,2,1
20230101963874,1,3,0,53,66.44995513467211,0,0,7,1
20230101963877,0,2,0,8,56.2301347446287,3,1,6,0
20230101963883,0,3,0,5,11.930391605086411,1,1,1,1
20230101963893,1,4,0,5,36.81010984085944,0,0,4,0
20230101963901,1,4,0,1,12.685831660886013,1,1,1,0
20230101963919,1,2,0,9,45.75422708727804,0,1,5,1
20230101963939,1,3,0,2,20.014876734206197,1,2,2,1
20230101963943,1,5,0,11,70.31407925092442,1,0,7,1
20230101963974,1,3,0,10,74.0980665513355,1,0,8,0
20230101963982,0,6,0,1,9.71474542793925,1,0,1,1
20230101963983,0,4,0,14,62.778313538224786,0,0,7,0
20230101963988,1,5,0,5,10.878349033768062,1,0,1,0
20230101963998,1,3,0,4,34.62264035579656,1,0,4,1
20230101963999,0,4,0,21,86.09464590996852,2,1,10,0
20230101964017,0,5,0,15,110.72504623290733,0,1,12,1
20230101964027,0,5,0,2,11.404103409534896,1,1,1,1
20230101964033,0,3,0,11,33.07616285961708,1,3,3,1
20230101964053,1,3,0,9,59.33616139688049,1,0,6,0
20230101964056,0,2,0,9,64.66452140286314,1,0,7,1
20230101964083,1,4,0,1,9.98345333417401,1,0,1,1
20230101964085,1,4,0,1,9.98345333417401,1,0,1,1
20230101964087,1,4,0,1,9.98345333417401,1,0,1,1
20230101964091,0,5,0,12,34.85145375281577,1,3,3,1
20230101964094,0,2,0,17,67.8150237377226,0,1,7,0
20230101964107,0,5,0,19,53.9572985197353,2,0,6,1
20230101964133,1,3,0,6,11.10818509417652,0,1,1,1
20230101964139,1,4,0,2,11.014110753870373,1,1,1,1
20230101964140,0,2,0,1,12.307568201845754,1,0,1,1
20230101964148,0,5,0,1,12.685831660886013,1,1,1,0
20230101964169,0,5,0,5,36.55516856885032,1,0,4,1
20230101964180,1,4,0,5,11.83033137458823,0,1,1,1
20230101964186,1,4,0,16,105.25062312596629,1,0,12,1
20230101964192,0,4,0,1,11.36048498857772,3,0,1,0
20230101964196,1,3,0,2,21.563805099233736,3,2,2,1
20230101964210,0,5,0,17,81.81135873194734,1,0,9,0
20230101964243,1,3,0,10,44.96891143396874,0,0,5,1
20230101964258,1,5,0,15,37.69411802266993,0,0,4,1
20230101964275,1,5,0,8,63.5523497472906,1,0,7,0
20230101964285,1,2,0,6,46.52714923942929,3,0,5,0
20230101964297,1,2,0,2,17.974514149687522,0,0,2,0
20230101964299,1,3,0,4,10.847568533391785,0,1,1,0
20230101964300,1,3,0,32,236.31793136353033,0,0,28,1
20230101964310,1,3,0,5,27.16831138634243,0,1,3,1
20230101964328,0,2,0,11,12.702809486853065,1,1,1,1
20230101964352,1,3,0,8,73.3148152866844,1,0,8,0
20230101964354,1,3,0,12,83.91788294336752,2,0,10,1
20230101964372,1,4,0,19,156.78857089550118,0,0,18,0
20230101964385,1,4,0,9,72.64705725490134,3,5,8,1
20230101964386,0,5,0,2,11.064871176788817,0,0,1,1
20230101964395,0,3,0,1,10.021848199120974,1,1,1,0
20230101964401,1,3,0,1,9.850192255477904,3,0,1,1
20230101964446,1,4,0,1,10.491301994830229,0,0,1,0
20230101964453,1,3,0,14,114.5538047650773,0,0,13,0
20230101964457,0,4,0,1,10.547864568726643,2,1,1,1
20230101964459,1,3,0,9,72.90356041158,3,0,8,0
20230101964462,1,3,0,7,51.54655653602538,1,5,5,1
20230101964464,1,3,0,5,35.55880000109795,3,0,4,0
20230101964467,1,4,0,17,85.91924114336032,3,0,10,1
20230101964512,1,4,0,7,34.995187414452246,1,0,4,1
20230101964527,0,5,0,11,12.036837092284582,1,1,1,0
20230101964531,1,3,0,8,22.36789823719392,1,2,2,1
20230101964535,0,2,0,9,73.6611503745869,1,0,8,0
20230101964560,1,2,0,3,26.8256826799835,0,2,3,1
20230101964568,0,4,0,7,57.993496468224485,1,0,6,0
20230101964573,1,5,0,8,60.49495088230548,1,0,7,0
20230101964580,0,2,0,13,81.62131576226471,0,0,9,1
20230101964583,0,4,0,1,9.703877405604633,3,0,1,0
20230101964587,0,3,0,1,9.89877647280601,3,0,1,1
20230101964594,0,3,0,6,11.908346971208951,1,1,1,0
20230101964606,0,3,0,1,12.107273887707487,1,1,1,1
