scd,gender,age_grp,employee_yn,prime_yn,weekday,weekday2,total_qty,total_amt,event_product,product_amt,category_amt
20230101963244,0,4,0,1,6,0,3,10.234372782288558,0,1,0
20230101963277,1,3,0,1,6,0,1,9.190035618635818,0,1,1
20230101963302,0,4,0,0,6,0,17,83.44628039751449,0,10,7
20230101963319,1,4,0,0,6,0,23,73.4526528393645,0,8,4
20230101963336,0,3,0,1,6,0,30,119.94349622614142,1,14,7
20230101963345,1,4,0,0,6,0,1,9.566685261452934,0,1,1
20230101963352,0,5,0,1,6,0,7,52.76246372543832,0,6,6
20230101963356,1,4,0,0,6,0,4,18.59848611812822,0,2,1
20230101963359,0,3,0,1,6,0,7,61.152603454513155,0,7,5
20230101963360,0,4,0,0,6,0,1,9.053569596026234,0,1,1
20230101963361,0,5,0,0,6,0,1,10.62815762466823,0,1,1
20230101963362,0,4,0,1,6,0,14,36.990667954942,0,4,4
20230101963370,1,4,0,1,6,0,7,52.218480733514625,0,6,2
20230101963383,0,4,0,0,6,0,8,48.43841781659355,0,5,3
20230101963394,0,4,0,1,6,0,8,36.99941523619241,0,4,3
20230101963443,1,3,0,0,6,0,2,10.259797429846149,0,1,1
20230101963474,1,2,0,0,6,0,28,127.03946772290584,0,15,10
20230101963496,0,5,0,0,6,0,8,53.09721576418068,1,6,0
20230101963497,1,2,0,1,6,0,11,28.98868065285887,0,3,1
20230101963504,0,3,0,0,6,0,7,38.4128902601269,0,4,2
20230101963505,0,3,0,0,6,0,20,11.65789988570203,0,1,1
20230101963506,1,3,0,1,6,0,41,31.727057382200208,0,3,2
20230101963514,1,3,0,1,6,0,23,48.22534367989964,0,5,5
20230101963518,0,4,0,0,6,0,14,79.77082212336663,0,9,6
20230101963524,0,4,0,1,6,0,10,68.47274555918962,1,8,2
20230101963529,1,4,0,1,6,0,12,84.26980755842136,0,10,6
20230101963545,1,5,0,1,6,0,4,20.79396858669132,1,2,2
20230101963548,0,4,0,1,6,0,28,135.36311731858834,0,16,14
20230101963580,0,5,0,1,6,0,7,11.766784430945284,1,1,0
20230101963597,0,4,0,1,6,0,2,19.57900999244028,0,2,1
20230101963599,0,5,0,1,6,0,12,52.162489419101924,0,6,1
20230101963600,0,4,0,0,6,0,1,11.080618310893968,1,1,0
20230101963612,1,5,0,1,6,0,4,25.744967655960323,1,3,0
20230101963615,0,4,0,0,6,0,5,10.182292842675238,0,1,1
20230101963616,1,3,0,1,6,0,1,8.861350110795998,0,1,1
20230101963626,1,4,0,1,6,0,2,9.27995971385624,0,1,1
20230101963632,0,4,0,1,6,0,6,9.361773075736393,0,1,1
20230101963646,0,4,0,1,6,0,11,69.07089700727765,0,8,3
20230101963649,0,4,0,0,6,0,5,44.22262147421603,0,5,4
20230101963658,0,4,0,1,6,0,1,9.50181524266666,1,1,1
20230101963664,1,4,0,1,6,0,23,121.64584690615078,0,14,5
20230101963686,0,4,0,0,6,0,16,85.67254377821655,1,10,6
20230101963687,0,3,0,0,6,0,19,83.97521761961572,0,10,5
20230101963690,0,3,0,1,6,0,4,36.00889439898219,4,4,3
20230101963693,0,4,0,1,6,0,7,58.95108144049328,0,7,6
20230101963694,0,5,0,1,6,0,2,10.274913168420769,0,1,1
20230101963695,1,3,0,0,6,0,2,9.468001285315951,0,1,1
20230101963702,1,3,0,1,6,0,3,17.889411601563214,0,2,2
20230101963725,1,4,0,0,6,0,39,31.43212532327329,0,3,3
20230101963735,0,4,0,1,6,0,7,41.23837169726155,0,5,2
20230101963750,1,3,0,1,6,0,5,39.40255260596553,0,5,4
20230101963753,0,4,0,0,6,0,9,36.62794656638452,0,4,1
20230101963755,0,2,0,1,6,0,5,43.19865466567977,1,5,4
20230101963757,1,2,0,0,6,0,2,18.682690476350018,0,2,1
20230101963761,0,4,0,1,6,0,3,26.490726881509968,0,3,3
