net_order_qty,net_order_amt,gender,age_grp,weekday2,event_product,category_count,prime_yn,most_product_0,most_product_1,most_product_2,most_product_3
3,10.234372782288558,0,4,0,0,1,1,0,1,0,0
1,9.190035618635818,1,3,0,0,1,1,0,0,0,1
17,83.44628039751449,0,4,0,0,7,0,0,0,0,1
23,73.4526528393645,1,4,0,0,3,0,1,0,0,0
30,119.94349622614142,0,3,0,0,7,1,0,1,0,0
1,9.566685261452934,1,4,0,0,1,0,1,0,0,0
7,52.76246372543832,0,5,0,0,3,1,0,1,0,0
4,18.59848611812822,1,4,0,0,2,0,0,1,0,0
7,61.152603454513155,0,3,0,0,4,1,1,0,0,0
1,9.053569596026234,0,4,0,0,1,0,0,0,0,1
1,10.62815762466823,0,5,0,0,1,0,0,0,0,1
14,36.990667954942,0,4,0,0,3,1,0,1,0,0
7,52.218480733514625,1,4,0,0,5,1,0,1,0,0
8,48.43841781659355,0,4,0,0,4,0,1,0,0,0
8,36.99941523619241,0,4,0,0,4,1,1,0,0,0
2,10.259797429846149,1,3,0,0,1,0,1,0,0,0
28,127.03946772290584,1,2,0,0,4,0,0,0,1,0
8,53.09721576418068,0,5,0,0,2,0,0,1,0,0
11,28.98868065285887,1,2,0,0,2,1,0,1,0,0
7,38.4128902601269,0,3,0,0,4,0,0,1,0,0
20,11.65789988570203,0,3,0,0,1,0,1,0,0,0
41,31.727057382200208,1,3,0,0,1,1,0,0,1,0
23,48.22534367989964,1,3,0,0,2,1,0,0,1,0
14,79.77082212336663,0,4,0,0,3,0,0,0,1,0
10,68.47274555918962,0,4,0,1,5,1,1,0,0,0
12,84.26980755842136,1,4,0,0,6,1,0,1,0,0
4,20.79396858669132,1,5,0,1,2,1,1,0,0,0
28,135.36311731858834,0,4,0,0,7,1,0,1,0,0
2,19.57900999244028,0,4,0,0,1,1,1,0,0,0
12,52.162489419101924,0,5,0,0,5,1,0,1,0,0
1,11.080618310893968,0,4,0,1,1,0,0,0,0,1
4,25.744967655960323,1,5,0,0,3,1,1,0,0,0
5,10.182292842675238,0,4,0,0,1,0,0,0,1,0
1,8.861350110795998,1,3,0,0,1,1,0,1,0,0
2,9.27995971385624,1,4,0,0,1,1,0,1,0,0
6,9.361773075736393,0,4,0,0,1,1,0,0,1,0
11,69.07089700727765,0,4,0,0,5,1,0,1,0,0
5,44.22262147421603,0,4,0,0,4,0,0,1,0,0
1,9.50181524266666,0,4,0,1,1,1,1,0,0,0
23,121.64584690615078,1,4,0,0,5,1,1,0,0,0
16,85.67254377821655,0,4,0,1,3,0,1,0,0,0
19,83.97521761961572,0,3,0,0,6,0,0,1,0,0
4,36.00889439898219,0,3,0,4,1,1,1,0,0,0
7,58.95108144049328,0,4,0,0,3,1,0,1,0,0
2,10.274913168420769,0,5,0,0,1,1,1,0,0,0
2,9.468001285315951,1,3,0,0,1,0,0,0,1,0
3,17.889411601563214,1,3,0,0,2,1,1,0,0,0
39,31.43212532327329,1,4,0,0,1,0,0,0,1,0
7,41.23837169726155,0,4,0,0,3,1,1,0,0,0
5,39.40255260596553,1,3,0,0,1,1,0,0,1,0
9,36.62794656638452,0,4,0,0,3,0,0,1,0,0
5,43.19865466567977,0,2,0,1,4,1,1,0,0,0
2,18.682690476350018,1,2,0,0,2,0,1,0,0,0
3,26.490726881509968,0,4,0,0,3,1,0,0,0,1
1,9.389239411968807,1,4,0,0,1,1,1,0,0,0
22,133.81367365545742,1,4,0,0,5,1,0,0,1,0
9,50.3247886101806,0,5,0,0,3,1,0,0,0,1
7,59.302645024815774,1,4,0,0,4,0,0,1,0,0
19,96.50124259301766,0,5,0,0,3,0,0,0,1,0
2,19.28571885429603,0,5,0,1,2,1,1,0,0,0
3,18.24737114520423,0,4,0,2,2,0,0,0,1,0
10,28.48067858276555,1,6,0,0,2,1,1,0,0,0
1,8.62245370207373,0,3,0,0,1,1,0,1,0,0
3,19.681288974884264,0,4,0,3,1,1,0,0,1,0
9,60.01844583701043,1,4,0,0,3,1,1,0,0,0
1,10.328068777836522,0,4,0,0,1,1,0,0,1,0
1,10.328068777836522,0,4,0,0,1,1,0,0,1,0
4,9.92705758404856,0,4,0,0,1,0,0,1,0,0
1,10.450481157684562,0,4,0,0,1,0,0,0,1,0
13,90.8232574305252,0,4,0,1,5,1,1,0,0,0
15,110.17925213794294,0,5,0,0,7,0,1,0,0,0
17,104.3709060595874,1,3,0,0,4,1,0,1,0,0
20,100.47163358188072,0,3,0,0,5,1,0,1,0,0
17,61.022069149312145,0,4,0,0,3,0,1,0,0,0
1,9.208438564686588,1,3,0,0,1,0,0,1,0,0
23,89.8251168271376,0,6,0,0,5,1,0,1,0,0
15,101.33079119099824,0,3,0,0,5,0,0,1,0,0
47,243.56721873270288,1,4,0,1,5,0,0,0,1,0
