net_order_qty,net_order_amt,gender,employee_yn,age_grp,weekday2,event_product,category_count,prime_yn,most_product_0,most_product_1,most_product_2,most_product_3
6,39.433805771984794,1,1,3,0,0,1,0,0,0,1,0
6,45.51685547007837,1,1,3,0,0,3,1,1,0,0,0
2,10.845621454367802,0,1,3,0,0,1,1,0,0,0,1
6,47.0147423746736,1,1,2,0,0,3,1,0,1,0,0
1,10.248105097311578,0,1,4,0,0,1,1,0,0,0,1
5,46.54726573822178,1,1,2,0,0,4,1,0,1,0,0
6,21.564431604135972,1,1,3,0,0,2,1,0,0,0,1
12,88.20347432533697,1,1,5,0,0,6,1,1,0,0,0
4,10.702727480606711,0,1,5,0,4,1,1,0,0,1,0
9,76.15573648923274,0,1,3,0,0,5,1,1,0,0,0
11,91.1284365253931,1,1,2,0,0,2,0,0,0,1,0
11,86.45647526071176,0,1,3,0,0,5,0,1,0,0,0
1,9.142489705068009,1,1,2,0,0,1,1,1,0,0,0
11,98.09659884266594,0,1,5,0,0,4,1,1,0,0,0
38,235.68590306797998,1,1,4,0,0,3,1,0,0,1,0
3,11.132309054831454,1,1,2,0,0,1,0,1,0,0,0
8,65.4753361300567,0,1,4,0,0,3,0,0,0,0,1
7,53.60036808286456,1,1,3,0,0,5,1,0,1,0,0
4,36.46994877690789,0,1,5,0,0,3,1,0,0,0,1
26,170.89941531827472,0,1,3,0,0,4,1,1,0,0,0
15,113.19537220059355,0,1,5,0,0,4,1,0,0,1,0
14,127.04159557084114,1,1,2,0,0,6,1,1,0,0,0
17,146.12686641239458,1,1,4,0,1,2,1,0,0,1,0
17,136.09714786044276,0,1,5,0,1,7,1,0,1,0,0
1,10.867386798325008,0,1,3,0,0,1,0,0,0,1,0
1,12.086291990961044,1,1,4,0,1,1,1,0,0,0,1
2,16.743256399829402,1,1,4,0,0,1,1,1,0,0,0
1,9.316500567804573,0,1,4,0,1,1,1,0,0,1,0
8,62.91601451112649,0,1,4,0,0,1,1,0,1,0,0
3,28.979815814309397,0,1,2,0,0,2,1,1,0,0,0
17,98.26322161890748,0,1,3,0,0,4,0,1,0,0,0
4,10.363472411086745,1,1,2,0,0,1,0,1,0,0,0
53,66.44995513467212,1,1,3,0,0,2,1,1,0,0,0
8,56.23013474462869,0,1,2,0,0,4,0,0,0,0,1
5,36.81010984085944,1,1,4,0,0,2,0,1,0,0,0
1,12.685831660886013,1,1,4,0,1,1,0,0,0,0,1
9,45.75422708727804,1,1,2,0,0,4,1,0,0,1,0
11,70.31407925092442,1,1,5,0,0,4,1,0,1,0,0
10,74.0980665513355,1,1,3,0,0,5,0,1,0,0,0
1,9.71474542793925,0,1,6,0,0,1,1,1,0,0,0
14,62.77831353822479,0,1,4,0,0,2,0,1,0,0,0
5,10.878349033768062,1,1,5,0,0,1,0,1,0,0,0
4,34.62264035579656,1,1,3,0,0,3,1,0,1,0,0
21,86.09464590996852,0,1,4,0,2,4,0,0,0,1,0
15,110.72504623290733,0,1,5,0,2,5,1,1,0,0,0
9,59.336161396880485,1,1,3,0,0,4,0,0,1,0,0
9,64.66452140286314,0,1,2,0,0,2,1,0,1,0,0
